Duration,x^0,x^1,x^2,x^3,x^4,x^5,x^6,x^7,y^0,y^1,y^2,y^3,y^4,y^5,y^6,y^7,z^0,z^1,z^2,z^3,z^4,z^5,z^6,z^7,yaw^0,yaw^1,yaw^2,yaw^3,yaw^4,yaw^5,yaw^6,yaw^7
1.50671,-0.3,0,0,0,-1.14784,1.81167,-0.999444,0.189528,-0.9,0,0,0,0.791254,-1.19833,0.644955,-0.120179,0.2,0,0,0,0.804303,-1.1787,0.61565,-0.111966,0,0,0,0,0,0,0,0
0.6644,-0.5,-0.0634585,-0.023179,0.0253392,0.720741,-0.468783,-0.978232,0.863596,-0.7,0.15323,0.0500837,0.00805071,-1.11136,2.92005,-2.83449,0.980827,0.421639,0.145039,-0.0266728,0.00921149,-0.717417,2.01768,-1.94359,0.644407,0,0,0,0,0,0,0,0
1.91389,-0.5,0.0882015,0.050035,0.0231982,0.345865,-0.504782,0.234466,-0.0363187,-0.6,0.160419,0.0684136,0.00741327,0.122654,-0.235997,0.121683,-0.0199381,0.5,0.124231,0.0802159,0.00359561,0.201653,-0.329951,0.161399,-0.0257475,0,0,0,0,0,0,0,0
