Duration,x^0,x^1,x^2,x^3,x^4,x^5,x^6,x^7,y^0,y^1,y^2,y^3,y^4,y^5,y^6,y^7,z^0,z^1,z^2,z^3,z^4,z^5,z^6,z^7,yaw^0,yaw^1,yaw^2,yaw^3,yaw^4,yaw^5,yaw^6,yaw^7
0.993316,0,0,0,0,4.08944,-9.14793,7.26408,-2.00443,0,0,0,0,0.62873,-1.56835,1.31366,-0.374471,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.836297,0.2,0.172519,-0.0754941,0.0774238,-0.0543752,-1.82531,2.87248,-1.20996,0,-0.0652746,-0.0703382,0.013756,-5.07809,13.8738,-13.351,4.44508,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.6467,0.2,-0.229981,-0.103812,0.0168737,-1.26857,1.84465,-0.924733,0.158838,-0.2,-0.22741,0.0285645,-0.0203253,0.283413,-0.239923,0.0717477,-0.00675123,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.918476,-0.6,-0.286147,0.103757,-0.0246048,1.30992,-1.75885,0.733093,-0.0513637,-0.2,0.212762,0.0227607,0.0106081,1.78134,-5.14888,4.8911,-1.5622,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.76764,-0.6,0.302751,0.158887,0.0313151,0.475337,-0.889572,0.478489,-0.0832657,0,0.0981535,-0.05799,0.00283855,-0.17626,0.247883,-0.117716,0.0190264,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
