Duration,x^0,x^1,x^2,x^3,x^4,x^5,x^6,x^7,y^0,y^1,y^2,y^3,y^4,y^5,y^6,y^7,z^0,z^1,z^2,z^3,z^4,z^5,z^6,z^7,yaw^0,yaw^1,yaw^2,yaw^3,yaw^4,yaw^5,yaw^6,yaw^7
1.46721,0,0,0,0,0.628992,-0.906479,0.473204,-0.0869115,0,0,0,0,0.11707,-0.198771,0.113491,-0.0220819,0.5,0,0,0,1.30157,-1.94626,1.03247,-0.191186,0,0,0,0,0,0,0,0
1.99738,0.2,0.178301,-0.0228712,-0.0269527,0.0888419,-0.137724,0.0668101,-0.0104715,0,-0.0386813,-0.0299431,-0.00427829,-0.0517418,0.0654117,-0.0267316,0.00372359,0.8,0.11684,-0.190236,-0.0477449,-0.357516,0.474579,-0.196371,0.027425,0,0,0,0,0,0,0,0
2.11619,0.2,-0.27494,-0.0727719,0.00258355,-0.303943,0.378811,-0.155964,0.0216214,-0.2,-0.0969961,0.0221561,0.00599398,-0.0213185,0.0374229,-0.0182738,0.00278725,0.3,-0.109136,0.209724,0.0109899,0.407766,-0.502825,0.1998,-0.0268051,0,0,0,0,0,0,0,0
1.80004,-0.6,-0.206555,0.0285985,0.00949851,0.0604465,-0.00342,-0.0196624,0.00526897,-0.2,0.120786,0.0208434,-0.00570046,0.0960275,-0.15357,0.0772969,-0.0128548,0.8,-0.0115764,-0.201232,-0.000592499,-0.771788,1.11533,-0.528148,0.0843938,0,0,0,0,0,0,0,0
1.88248,-0.6,0.244576,0.0501706,-0.0235912,0.847549,-1.1451,0.525553,-0.0816745,0,0.0228962,-0.028776,0.00286709,0.00646638,0.000628024,-0.00221453,0.000504285,0.3,0.0101136,0.162054,-0.0161811,0.104178,-0.215967,0.115328,-0.0193434,0,0,0,0,0,0,0,0
