Duration,x^0,x^1,x^2,x^3,x^4,x^5,x^6,x^7,y^0,y^1,y^2,y^3,y^4,y^5,y^6,y^7,z^0,z^1,z^2,z^3,z^4,z^5,z^6,z^7,yaw^0,yaw^1,yaw^2,yaw^3,yaw^4,yaw^5,yaw^6,yaw^7
2.23916,0.216,0,0,0,-0.261024,0.250671,-0.0854231,0.0101426,-0.471,0,0,0,0.0124446,0.00485181,-0.00597135,0.0011292,0.254,0,0,0,0.0639622,-0.0576917,0.0191494,-0.00226447,0,0,0,0,0,0,0,0
1.536,-0.14,-0.116128,0.0679234,-0.0262748,-0.0461958,0.156532,-0.109414,0.0232526,-0.319,0.148228,0.00220638,0.00747069,-0.0471412,0.0420438,-0.0142506,0.00164211,0.389,0.0904342,-0.0087136,-0.0123642,0.0986994,-0.214694,0.135884,-0.0275061,0,0,0,0,0,0,0,0
1.73828,-0.14,0.118168,0.00490157,-0.0170566,0.159587,-0.242576,0.125107,-0.0216084,-0.116,0.114598,-0.00208425,-0.00316408,-0.031174,0.0107435,0.00469764,-0.00187193,0.406,-0.126239,-0.0418217,0.0186173,-0.201931,0.329948,-0.174198,0.0304012,0,0,0,0,0,0,0,0
