Duration,x^0,x^1,x^2,x^3,x^4,x^5,x^6,x^7,y^0,y^1,y^2,y^3,y^4,y^5,y^6,y^7,z^0,z^1,z^2,z^3,z^4,z^5,z^6,z^7,yaw^0,yaw^1,yaw^2,yaw^3,yaw^4,yaw^5,yaw^6,yaw^7
2.12974,0.35,0,0,0,-0.390221,0.400168,-0.145219,0.0183446,-0.5,0,0,0,0.143459,-0.145074,0.0532295,-0.00685346,0.3,0,0,0,0.0927676,-0.0849486,0.0278701,-0.0032061,0,0,0,0,0,0,0,0
0.77388,-0.05,-0.108746,0.101338,-0.0206619,0.219664,0.144204,-0.713128,0.405527,-0.3,0.136935,0.0104871,-0.00912537,1.12415,-4.00123,4.64955,-1.8008,0.45,0.0788054,-0.030747,0.0131081,-0.959342,2.08529,-1.70481,0.498296,0,0,0,0,0,0,0,0
1.71641,-0.05,0.0989311,0.0381588,0.00343824,0.277689,-0.456866,0.239782,-0.0418081,-0.2,0.0808528,0.0023533,-5.76186e-05,0.0756172,-0.135471,0.0743541,-0.0133246,0.45,-0.0740414,-0.0503424,-0.0152141,-0.307334,0.513742,-0.269558,0.046914,0,0,0,0,0,0,0,0
