Duration,x^0,x^1,x^2,x^3,x^4,x^5,x^6,x^7,y^0,y^1,y^2,y^3,y^4,y^5,y^6,y^7,z^0,z^1,z^2,z^3,z^4,z^5,z^6,z^7,yaw^0,yaw^1,yaw^2,yaw^3,yaw^4,yaw^5,yaw^6,yaw^7
1.72193,0.013,0,0,0,-0.327989,0.418338,-0.189805,0.0299702,-0.014,0,0,0,-0.084554,0.0805805,-0.0281383,0.00345289,0.203,0,0,0,0.428707,-0.545444,0.247381,-0.0391521,0,0,0,0,0,0,0,0
1.36554,-0.14,-0.0805381,0.0213561,-0.0146199,0.00761202,0.109573,-0.10392,0.0264791,-0.116,-0.110432,-0.00308761,-0.00393065,-0.202006,0.323506,-0.184325,0.036711,0.406,0.104415,-0.0453351,-0.00646983,-0.160146,0.214683,-0.0998825,0.0162126,0,0,0,0,0,0,0,0
2.37491,-0.14,0.119747,0.0568347,0.000346959,0.0770472,-0.0695654,0.0223357,-0.00252867,-0.319,-0.159038,0.00493993,0.00574702,0.0359819,-0.0176818,0.00292909,-0.000144278,0.406,-0.0640447,0.00997816,0.00837201,0.0231296,-0.0204679,0.00605907,-0.000631072,0,0,0,0,0,0,0,0
2.42443,0.595,0.407607,-0.00535078,-0.0230898,-0.0335356,0.0134478,0.000798609,-0.000553864,-0.319,0.223671,0.0638749,-0.0256676,0.0310602,-0.0523778,0.0232891,-0.00317101,0.43,0.0626597,0.000715783,-0.00575793,-0.000640856,-0.00148086,0.00126158,-0.000215465,0,0,0,0,0,0,0,0
