Duration,x^0,x^1,x^2,x^3,x^4,x^5,x^6,x^7,y^0,y^1,y^2,y^3,y^4,y^5,y^6,y^7,z^0,z^1,z^2,z^3,z^4,z^5,z^6,z^7,yaw^0,yaw^1,yaw^2,yaw^3,yaw^4,yaw^5,yaw^6,yaw^7
1.50713,-0.3,0,0,0,-1.14685,1.80966,-0.998074,0.189218,-0.9,0,0,0,0.789881,-1.19579,0.643365,-0.119844,0,0,0,0,0.805451,-1.18013,0.616234,-0.112041,0,0,0,0,0,0,0,0
0.663483,-0.5,-0.063391,-0.0231987,0.0253358,0.71318,-0.423294,-1.0574,0.906283,-0.7,0.153257,0.0499637,0.00800345,-1.04304,2.66206,-2.50177,0.834916,0.222,0.144868,-0.0271087,0.00917036,-0.594297,1.53584,-1.30907,0.362329,0,0,0,0,0,0,0,0
1.91389,-0.5,0.0878039,0.0479704,0.0247765,0.349337,-0.50942,0.236431,-0.0366036,-0.6,0.159504,0.0683398,0.00740337,0.125488,-0.239294,0.123054,-0.0201366,0.3,0.121306,0.0803466,0.00351171,0.209816,-0.339526,0.165402,-0.0263286,0,0,0,0,0,0,0,0
