Duration,x^0,x^1,x^2,x^3,x^4,x^5,x^6,x^7,y^0,y^1,y^2,y^3,y^4,y^5,y^6,y^7,z^0,z^1,z^2,z^3,z^4,z^5,z^6,z^7,yaw^0,yaw^1,yaw^2,yaw^3,yaw^4,yaw^5,yaw^6,yaw^7
1.7906,0.15,0,0,0,-0.364547,0.443353,-0.191534,0.0287974,-0.1,0,0,0,-0.0392409,0.0184566,0.00112954,-0.00124658,0.25,0,0,0,0.398003,-0.489868,0.213404,-0.0323308,0,0,0,0,0,0,0,0
1.05949,-0.05,-0.092866,0.0376139,-0.027023,0.191977,-0.14398,0.017193,0.00954412,-0.2,-0.115333,-0.00297763,-0.00811827,-0.0394702,0.238016,-0.24415,0.0750748,0.45,0.0704394,-0.0580098,0.0150841,-0.156581,0.231259,-0.120477,0.0210336,0,0,0,0,0,0,0,0
2.77633,-0.05,0.134212,0.124894,0.000232474,0.0195204,-0.0308118,0.0104716,-0.00111146,-0.3,-0.0495286,0.0262243,-2.92633e-05,0.00622093,-0.00707185,0.00223107,-0.000227173,0.45,-0.0463559,-0.00172049,0.00938394,-0.00602562,0.0017049,-0.000262868,2.1475e-05,0,0,0,0,0,0,0,0
1.13372,0.75,0.151645,-0.0818793,0.0126326,-0.00445021,0.0857344,-0.0668195,0.0147758,-0.3,0.006962,0.00172251,0.00645524,0.318435,-0.453652,0.244428,-0.0477417,0.339,-0.039557,0.00273414,0.00603064,0.126566,-0.151698,0.0679079,-0.0106425,0,0,0,0,0,0,0,0
2.49626,0.882,0.165671,0.10141,0.00139641,0.043853,-0.0818466,0.0343295,-0.00442895,-0.2,0.181759,0.0481473,-0.0173046,-0.0128219,-0.0040993,0.00513542,-0.000880673,0.35,0.0795002,0.0529907,-0.00608632,0.0478405,-0.0622485,0.0238941,-0.00296254,0,0,0,0,0,0,0,0
